Entry Time,Exit Time,Type,Strategy,Leverage Used,Entry Price,Exit Price,Reason,Net PnL,Balance
2026-04-27 08:00:00,2026-04-27 15:00:00,Long,Trend_Long,1.56,77805.38,76768.8,Stop Loss,-219.97,9780.03
2026-05-08 08:00:00,2026-05-09 17:00:00,Long,Trend_Long,1.88,79882.12,80846.19,Take Profit,207.35,9987.37
2026-05-12 17:00:00,2026-05-13 13:00:00,Long,Trend_Long,1.75,80523.54,79562.1,Stop Loss,-222.14,9765.23
2026-05-15 13:00:00,2026-05-17 23:00:00,Long,Range_Long,1.36,78755.46,77555.83,Stop Loss,-212.25,9552.99
2026-05-23 22:00:00,2026-05-25 06:00:00,Short,Trend_Short,1.56,76508.43,77529.44,Stop Loss,-210.53,9342.46
2026-05-27 13:00:00,2026-05-27 23:00:00,Long,Range_Long,1.75,75076.02,74180.25,Stop Loss,-207.81,9134.65
